time,means,sd,se
1,63.61901878,13.69528114,4.565093713
3,63.67897376,13.68124709,4.560415698
5,63.66325761,13.66209997,4.554033324
7,63.68028649,13.64745037,4.549150123
9,63.75214843,13.61614442,4.538714808
11,63.68351689,13.63290744,4.54430248
13,63.68751609,13.63648265,4.545494216
15,63.70014131,13.66707508,4.555691693
17,63.7022246,13.61505478,4.538351593
19,63.69372759,13.63127994,4.543759981
21,63.72439108,13.60532671,4.535108902
23,63.75046612,13.60812955,4.536043185
25,63.65546142,13.63033807,4.543446022
27,63.67235432,13.59913289,4.533044298
29,63.6745056,13.61606967,4.538689891
31,63.70733256,13.57982052,4.52660684
33,63.72077192,13.60009186,4.533363954
35,63.72454972,13.62615225,4.542050749
37,63.79189818,13.60523451,4.535078171
39,63.78544087,13.57174965,4.523916549
41,63.76895765,13.51938156,4.506460519
43,63.72447127,13.52505178,4.508350592
45,63.74113231,13.56812835,4.52270945
47,63.79727985,13.58449408,4.528164692
49,63.73933668,13.57700612,4.525668705
51,63.7577794,13.56775141,4.522583803
53,63.79571608,13.54285418,4.514284727
55,63.81467657,13.58008698,4.526695661
57,63.81179833,13.593176,4.531058667
59,63.85988643,13.54684144,4.515613813
61,63.89222875,13.53690257,4.512300858
63,63.9236227,13.50043692,4.500145641
65,63.9494589,13.48442522,4.494808407
67,63.94741223,13.52787217,4.509290725
69,63.93387873,13.53949141,4.513163802
71,63.86217717,13.57020896,4.523402987
73,63.83756305,13.53783942,4.512613139
75,63.83350631,13.55749827,4.519166091
77,63.93135787,13.59481108,4.531603695
79,63.92450831,13.53060858,4.510202861
81,63.94479025,13.51137335,4.503791116
83,63.95282876,13.50853793,4.502845976
85,63.98046234,13.48308853,4.494362843
87,64.01991746,13.54159894,4.513866312
89,63.99529113,13.56900738,4.523002461
91,63.97901014,13.59056352,4.530187842
93,64.02687859,13.56905105,4.523017015
95,64.02130864,13.57614715,4.525382384
97,64.07315014,13.51105788,4.503685959
99,64.07220526,13.5070753,4.502358435
101,64.01655806,13.50654233,4.502180777
103,63.99261686,13.52572639,4.508575464
105,63.99853373,13.50337923,4.501126409
107,64.06238157,13.53740757,4.512469191
109,64.0392179,13.57946769,4.526489229
111,64.04417071,13.52751628,4.509172094
113,64.09396031,13.48270494,4.494234979
115,64.12352376,13.43454855,4.478182849
117,64.13106891,13.42899937,4.476333123
119,64.16803978,13.43974687,4.479915625
121,64.14163002,13.47054826,4.490182754
123,64.10379097,13.46527191,4.488423969
