"","df.time","means","sd","str"
"1",1,-0.826406452129987,2.47040062780696,1.23520031390348
"2",2,-0.936642557314415,2.41781654637101,1.2089082731855
"3",3,-0.958212729165608,2.35757736895572,1.17878868447786
"4",4,-0.995438034350048,2.36675250869926,1.18337625434963
"5",5,-1.03053647286788,2.38858201026045,1.19429100513022
"6",6,-1.08756604471905,2.37499819423989,1.18749909711995
"7",7,-1.13329881657016,2.33754959464767,1.16877479732383
"8",8,-1.11044885508803,2.44253282918484,1.22126641459242
"9",9,-1.09223616027247,2.50343665555607,1.25171832777803
"10",10,-1.1052988654569,2.52516653916741,1.26258326958371
"11",11,-1.10040523730808,2.5508242237034,1.2754121118517
"12",12,-1.05768127582594,2.6118746029714,1.3059373014857
"13",13,-1.01419024767708,2.71773988524303,1.35886994262152
"14",14,-0.982274952861493,2.80364889054811,1.40182444527406
"15",15,-0.97982199137937,2.82410321857335,1.41205160928668
"16",16,-0.99626676323048,2.82898866049066,1.41449433024533
"17",17,-1.03115600174828,2.82011703506861,1.4100585175343
"18",18,-1.01018884026609,2.78531461242596,1.39265730621298
"19",19,-0.96885954545061,2.80349340051143,1.40174670025571
"20",20,-0.894127983968395,2.83234511792611,1.41617255896306
"21",21,-0.842408422486207,2.85532153173855,1.42766076586928
"22",22,-0.903517394337358,2.8844334262407,1.44221671312035
"23",23,-0.994367632855147,2.94291107349944,1.47145553674972
"24",24,-1.05174587137301,2.99638857620129,1.49819428810065
"25",25,-1.1402600432241,2.95557939993522,1.47778969996761
"26",26,-1.14802301507526,2.94256094534099,1.4712804726705
"27",27,-1.11729318692647,2.93827316319511,1.46913658159756
"28",28,-1.03171809211096,2.97899548202932,1.48949774101466
"29",29,-0.994468197295348,2.96250148733188,1.48125074366594
"30",30,-0.94459656914655,2.97078273431376,1.48539136715688
"31",31,-0.978021407664257,2.94189993770474,1.47094996885237
"32",32,-1.04871871284875,2.91492415464922,1.45746207732461
"33",33,-1.13235155136654,2.85116951608109,1.42558475804054
"34",34,-1.14286898988444,2.92139193448813,1.46069596724406
"35",35,-1.14107849506891,2.92614405055093,1.46307202527547
"36",36,-1.15769760025338,2.89397470524205,1.44698735262103
"37",37,-1.17759417210444,2.91136310305316,1.45568155152658
"38",38,-1.15401201062228,2.90612912943948,1.45306456471974
"39",39,-1.12826811580685,2.90320146679012,1.45160073339506
"40",40,-1.09237802099127,2.90378353359067,1.45189176679534
"41",41,-1.09145919284238,2.91048049085657,1.45524024542829
"42",42,-1.12788256469348,2.87545031694671,1.43772515847336
"43",43,-1.13996900321143,2.89869543391081,1.44934771695541
"44",44,-1.17255704172922,2.92395830395135,1.46197915197567
"45",45,-1.16783774691366,2.96179172360764,1.48089586180382
"46",46,-1.14913691876483,2.99460948541846,1.49730474270923
"47",47,-1.15289022394926,3.01894978722678,1.50947489361339
"48",48,-1.16058346246708,2.97599753050834,1.48799876525417
"49",49,-1.20080730098492,2.94578075791809,1.47289037895905
"50",50,-1.2603821395027,2.91048502878727,1.45524251439364
"51",51,-1.27194557802055,2.94463950442744,1.47231975221372
"52",52,-1.19226294987171,2.91791749666222,1.45895874833111
"53",53,-1.16861105505614,2.94000205064478,1.47000102532239
"54",54,-1.19589936024071,2.91169385649473,1.45584692824736
"55",55,-1.25296379875845,2.88399419809637,1.44199709904818
"56",56,-1.16662163727623,2.9050137675861,1.45250688379305
"57",57,-1.14948980912735,2.93503847911432,1.46751923955716
"58",58,-1.15463778097851,2.92766270162347,1.46383135081174
"59",59,-1.14775675282975,2.89779399091654,1.44889699545827
"60",60,-1.16263252468087,2.89106676665217,1.44553338332609
"61",61,-1.10069702986532,2.86790211024272,1.43395105512136
"62",62,-1.05779873504974,2.85329947441071,1.42664973720536
"63",63,-1.09328070690091,2.88976029944359,1.4448801497218
"64",64,-1.1505194787521,2.97898611610691,1.48949305805346
"65",65,-1.1729961839365,3.03699552400994,1.51849776200497
"66",66,-1.19735568912104,3.07301772826489,1.53650886413245
"67",67,-1.16000119430558,3.06050616373227,1.53025308186613
"68",68,-1.17438883282327,3.04798955106435,1.52399477553217
"69",69,-1.2306513380078,3.05323961689113,1.52661980844556
"70",70,-1.1994682431923,3.07303301461786,1.53651650730893
"71",71,-1.18903081504347,3.08753548908505,1.54376774454252
"72",72,-1.17224765356121,3.0485764289338,1.5242882144669
"73",73,-1.14908389207899,2.99483253757026,1.49741626878513
"74",74,-1.12034146393018,2.95006603493992,1.47503301746996
"75",75,-1.1721410357813,2.99090386201133,1.49545193100567
"76",76,-1.21459634096585,3.02846680053398,1.51423340026699
"77",77,-1.12358204615027,3.03226860707864,1.51613430353932
"78",78,-1.03717015133472,2.93962699417053,1.46981349708526
"79",79,-0.983253989852597,2.8788235840455,1.43941179202275
"80",80,-1.00043096170373,2.82552400656773,1.41276200328386
"81",81,-1.08402893355489,2.89391421771505,1.44695710885753
"82",82,-1.05821530540604,2.87022330400544,1.43511165200272
"83",83,-1.01779254392385,2.81127090684558,1.40563545342279
"84",84,-1.03291238244164,2.72225864935518,1.36112932467759
"85",85,-1.06675562095947,2.64391227531246,1.32195613765623
"86",86,-1.1330945928106,2.5690920362032,1.2845460181016
"87",87,-1.22164363132837,2.53948454230942,1.26974227115471
"88",88,-1.17086546984619,2.62113542268907,1.31056771134454
"89",89,-1.09407677503068,2.67499248459738,1.33749624229869
"90",90,-1.08963641354848,2.75927889078697,1.37963944539349
"91",91,-1.06643778539969,2.8006215911551,1.40031079557755
"92",92,-0.997877623917349,2.87796380123245,1.43898190061622
"93",93,-0.959128462435275,2.98012158577018,1.49006079288509
"94",94,-0.921948300953052,2.95876888414953,1.47938444207477
"95",95,-0.94714460613753,2.87523603321571,1.43761801660786
"96",96,-0.971469244655363,2.83874896108579,1.4193744805429
"97",97,-0.98153341650649,2.77887178983376,1.38943589491688
"98",98,-1.04926705502429,2.78442599193213,1.39221299596606
"99",99,-1.08258729354209,2.72759845932471,1.36379922966235
"100",100,-1.0647929987266,2.67355016197949,1.33677508098974
"101",101,-1.12387970391103,2.7340755519506,1.3670377759753
"102",102,-1.12599427576225,2.77034021901041,1.3851701095052
"103",103,-1.23016358094675,2.74096854739418,1.37048427369709
"104",104,-1.33126461946455,2.74651193890957,1.37325596945478
"105",105,-1.4234746579823,2.85819638119123,1.42909819059561
"106",106,-1.45763169650011,2.92089695385329,1.46044847692665
"107",107,-1.48683766835128,2.96075330173305,1.48037665086653
"108",108,-1.43016704020241,2.94150390980641,1.4707519549032
"109",109,-1.42168214538696,2.88003370512875,1.44001685256437
"110",110,-1.48251218390472,2.86473616556618,1.43236808278309
"111",111,-1.47852508908925,2.785922595293,1.3929612976465
"112",112,-1.39831946094036,2.71776597536349,1.35888298768175
"113",113,-1.36354509945809,2.80511909163535,1.40255954581767
"114",114,-1.275215537976,2.8286047937532,1.4143023968766
"115",115,-1.21376817649381,2.8396609452297,1.41983047261485
"116",116,-1.22564541501154,2.83451377257876,1.41725688628938
"117",117,-1.24310132019606,2.85036257817313,1.42518128908656
"118",118,-1.23085082538054,2.83905879083803,1.41952939541901
"119",119,-1.19827306389836,2.79315040716946,1.39657520358473
"120",120,-1.19072956908288,2.799929562547,1.3999647812735
"121",121,-1.16404427426735,2.81758418061437,1.40879209030719
"122",122,-1.21378671278512,2.73630100911957,1.36815050455978
"123",123,-1.29236388463626,2.67337456441358,1.33668728220679
"124",124,-1.3462205898207,2.72046131596941,1.3602306579847
"125",125,-1.35677289500524,2.75363615750801,1.376818078754
"126",126,-1.31753560018974,2.81963701241866,1.40981850620933
"127",127,-1.37899323870748,2.85153931838884,1.42576965919442
"128",128,-1.34955347722534,2.85691438924902,1.42845719462451
"129",129,-1.28486351574317,2.84898775006408,1.42449387503204
"130",130,-1.24025675426095,2.80131120325562,1.40065560162781
"131",131,-1.2192547261121,2.8054865977467,1.40274329887335
"132",132,-1.17639129796319,2.80506080188467,1.40253040094234
"133",133,-1.15078686981439,2.81812442693623,1.40906221346812
"134",134,-1.15593484166555,2.80890551883899,1.4044527594195
"135",135,-1.16373268018329,2.85760673519207,1.42880336759603
"136",136,-1.16396445203454,2.89584884384693,1.44792442192346
"137",137,-1.10366769055223,2.85510950132901,1.42755475066451
"138",138,-1.06816112907014,2.83538478003943,1.41769239001972
"139",139,-1.13826570092123,2.86292384471627,1.43146192235813
"140",140,-1.22161960610573,2.89758877477416,1.44879438738708
"141",141,-1.27938137795683,2.82134085682119,1.4106704284106
"142",142,-1.36747714980808,2.65099924376844,1.32549962188422
"143",143,-1.41889318832583,2.65028987736047,1.32514493868024
"144",144,-1.36665062684362,2.67031748455291,1.33515874227646
"145",145,-1.37723779869475,2.63774393779898,1.31887196889949
"146",146,-1.34528763721252,2.61260968762153,1.30630484381076
"147",147,-1.28610660906376,2.58264012762329,1.29132006381164
"148",148,-1.29303278091482,2.57504566074309,1.28752283037155
"149",149,-1.25585261943268,2.55908605724127,1.27954302862064
"150",150,-1.18000532461715,2.53412797005888,1.26706398502944
"151",151,-1.15129776313497,2.51095273287455,1.25547636643728
"152",152,-1.13911700165281,2.51884695213679,1.2594234760684
"153",153,-1.1377449068373,2.5592819543662,1.2796409771831
"154",154,-1.17437747868836,2.59038689726799,1.29519344863399
"155",155,-1.09724011720619,2.62328899439656,1.31164449719828
"156",156,-0.98628208905734,2.73416954829395,1.36708477414697
"157",157,-0.949694660908453,2.81655047460714,1.40827523730357
"158",158,-0.868791699426275,2.89088725462223,1.44544362731112
"159",159,-0.778893137944065,2.98208812478343,1.49104406239171
"160",160,-0.735402109795252,3.02754285747739,1.51377142873869
"161",161,-0.72866054831306,2.98898322523075,1.49449161261537
"162",162,-0.78415598683085,2.93654922659801,1.46827461329901
"163",163,-0.831074225348635,2.90221983133086,1.45110991566543
"164",164,-0.87063559719985,2.88300591656185,1.44150295828093
"165",165,-1.03285790238428,2.82457329176744,1.41228664588372
"166",166,-1.18587540756879,2.73476378251049,1.36738189125524
"167",167,-1.2452061794199,2.66349217399443,1.33174608699722
"168",168,-1.25969841793772,2.63287957167389,1.31643978583694
"169",169,-1.33949592312221,2.61027636757771,1.30513818378886
