"","time","dp"
"1",1,-3.67437567518637
"2",2,-3.71295876259088
"3",3,-3.67120904999559
"4",4,-3.7634868040667
"5",5,-3.84628082480471
"6",6,-3.96979911220912
"7",7,-4.03278886628033
"8",8,-4.16537248701854
"9",9,-4.20074784108965
"10",10,-4.24295706182746
"11",11,-4.21626974923207
"12",12,-4.25122670330329
"13",13,-4.3093351240414
"14",14,-4.43815314477911
"15",15,-4.50086396551702
"16",16,-4.55590411958823
"17",17,-4.59337147365954
"18",18,-4.56975242773075
"19",19,-4.57305044846876
"20",20,-4.56044926920657
"21",21,-4.54673235661128
"22",22,-4.64430984401579
"23",23,-4.8576446647537
"24",24,-5.02900001882481
"25",25,-5.05489163956283
"26",26,-5.05944486030084
"27",27,-5.05130661437215
"28",28,-5.02392196844336
"29",29,-4.96208905584777
"30",30,-4.91531854325248
"31",31,-4.95696989732359
"32",32,-5.0061524513948
"33",33,-4.96719207213271
"34",34,-5.03004235953742
"35",35,-5.00307611360863
"36",36,-5.00051653434664
"37",37,-5.02501348841765
"38",38,-4.97043284248896
"39",39,-4.93830632989367
"40",40,-4.84858008396478
"41",41,-4.87084557136939
"42",42,-4.86438092544061
"43",43,-4.93322827951192
"44",44,-5.05465456691643
"45",45,-5.11346032098784
"46",46,-5.12763674172565
"47",47,-5.14446302913016
"48",48,-5.09504264986817
"49",49,-5.08495187060608
"50",50,-5.05868295801059
"51",51,-5.0904321787486
"52",52,-4.99763766615311
"53",53,-5.00735115355772
"54",54,-5.00242064096233
"55",55,-5.03096212836694
"56",56,-4.97247641577126
"57",57,-5.00227310317597
"58",58,-4.95173699058058
"59",59,-4.89952727798519
"60",60,-4.8789764987232
"61",61,-4.83262438612761
"62",62,-4.81862854019882
"63",63,-4.89654122760333
"64",64,-4.99607124834144
"65",65,-5.06882366907925
"66",66,-5.12191128981716
"67",67,-5.11126264388857
"68",68,-5.10800573129288
"69",69,-5.15788561869769
"70",70,-5.0943791061021
"71",71,-5.07633872684021
"72",72,-5.00836928091132
"73",73,-4.96815370164924
"74",74,-4.87940372238705
"75",75,-5.00110894312516
"76",76,-5.12197736386307
"77",77,-5.04480311793418
"78",78,-4.82983580533869
"79",79,-4.7529404927435
"80",80,-4.72736891348131
"81",81,-4.95018746755262
"82",82,-4.93409962162383
"83",83,-4.79374697569494
"84",84,-4.72047779643305
"85",85,-4.66422355050406
"86",86,-4.62177650457547
"87",87,-4.66649612531319
"88",88,-4.7304621460512
"89",89,-4.72901830012261
"90",90,-4.84096085419361
"91",91,-4.88121754159843
"92",92,-4.96931129566944
"93",93,-5.03257998307415
"94",94,-4.92277053714536
"95",95,-4.80082749121657
"96",96,-4.71277484528788
"97",97,-4.62137499935899
"98",98,-4.7306676867636
"99",99,-4.73619717416811
"100",100,-4.67018026157292
"101",101,-4.84000148231063
"102",102,-4.88039763638204
"103",103,-4.92679085711995
"104",104,-5.01725554452457
"105",105,-5.23003249859568
"106",106,-5.36931051933359
"107",107,-5.4629829400716
"108",108,-5.37506976080941
"109",109,-5.27000218154732
"110",110,-5.32113726895183
"111",111,-5.21858008968984
"112",112,-5.00779677709445
"113",113,-5.07427319783226
"114",114,-5.07101628523687
"115",115,-5.03191643930828
"116",116,-5.03144886004609
"117",117,-5.02609994745061
"118",118,-5.02130890152172
"119",119,-4.97802505559302
"120",120,-4.97211827633103
"121",121,-4.96286429706904
"122",122,-4.90828365114036
"123",123,-4.88340940521147
"124",124,-5.00525409261608
"125",125,-5.03714278002069
"126",126,-5.0488088007586
"127",127,-5.14387588816301
"128",128,-5.14047950890102
"129",129,-5.04266419630563
"130",130,-4.94986968371014
"131",131,-4.98719757111485
"132",132,-4.95521052518606
"133",133,-4.96868961259057
"134",134,-4.96250389999518
"135",135,-5.0192176540664
"136",136,-5.07300260813761
"137",137,-4.92470036220872
"138",138,-4.88420584961353
"139",139,-5.03296760368474
"140",140,-5.16861949108925
"141",141,-5.07568551182716
"142",142,-4.87173606589847
"143",143,-4.88912021996968
"144",144,-4.88181877404079
"145",145,-4.8785618614455
"146",146,-4.87139988218341
"147",147,-4.72156350292132
"148",148,-4.68079005699244
"149",149,-4.62579101106384
"150",150,-4.50426636513495
"151",151,-4.40756678587296
"152",152,-4.38771333994427
"153",153,-4.43229349401549
"154",154,-4.45665098142
"155",155,-4.41978260215781
"156",156,-4.52391502289592
"157",157,-4.58564957696713
"158",158,-4.55254679770494
"159",159,-4.57550961844285
"160",160,-4.58801243918086
"161",161,-4.52004299325207
"162",162,-4.48080368065658
"163",163,-4.50265076806129
"164",164,-4.6257506554657
"165",165,-4.74076147620361
"166",166,-4.82634483027483
"167",167,-4.77343778434614
"168",168,-4.73126967175065
"169",169,-4.81615569248856
"170",170,-4.78891051322667
"171",171,-4.70629706729788
"172",172,-4.72563375470249
"173",173,-4.7158219087737
"174",174,-4.65761512951161
"175",175,-4.58044088358282
"176",176,-4.54901170432073
"177",177,-4.64212625839204
