time,mean,sd,se
1,51.78792489,8.783820492,5.071341126
2,51.87383636,8.921878546,5.15104898
3,51.89787111,8.986199044,5.188184437
4,51.92246373,8.973679123,5.180956057
5,51.84989458,9.026463517,5.211431141
6,51.80935627,9.037314897,5.217696188
7,51.84524569,9.02566839,5.210972075
8,51.90200862,9.087622849,5.246741498
9,51.8723952,9.091583122,5.249027963
10,51.86825769,9.094859862,5.25091979
11,51.81493493,9.163815764,5.290731498
12,51.82790533,9.279146827,5.357317919
13,51.82214071,9.32323141,5.382770164
14,51.80033742,9.328792419,5.385980814
15,51.80549769,9.309975335,5.375116766
16,51.81010009,9.325067784,5.383830396
17,51.76044995,9.353700027,5.400361228
18,51.7736528,9.339663129,5.392257021
19,51.75352311,9.295190029,5.366580465
20,51.7786736,9.322533173,5.382367037
21,51.81721289,9.376831799,5.413716364
22,51.87625378,9.351152053,5.398890155
23,51.9795056,9.271450412,5.352874391
24,52.07931725,9.224790929,5.325935526
25,52.08559324,9.230295718,5.329113717
26,51.98238791,9.335683494,5.389959379
27,51.90893547,9.253359035,5.34242933
28,52.00976987,9.08378713,5.244526944
29,52.0736456,8.927788672,5.154461193
30,52.08405911,8.946545807,5.16529063
31,52.03729129,9.053363988,5.226962136
32,51.96504756,9.163481105,5.290538282
33,51.93324915,9.166839682,5.292477358
34,51.9862,9.252183987,5.341750916
35,52.00860764,9.380521529,5.41584663
36,51.98122569,9.453286187,5.457857325
37,52.00897955,9.355797201,5.401572032
38,52.05546845,9.260345094,5.346462733
39,52.04254453,9.276182814,5.355606645
40,52.04389271,9.241902476,5.335814883
41,52.03845351,9.310712054,5.375542111
42,52.05760693,9.276412335,5.355739159
43,52.03552471,9.305409121,5.372480461
44,51.93673582,9.433911887,5.446671567
45,51.82999733,9.456077839,5.459469086
46,51.858588,9.436107294,5.447939086
47,51.93985058,9.422042284,5.439818649
48,51.91363084,9.469988105,5.467500182
49,51.93803751,9.495752888,5.482375486
50,51.96528,9.459935703,5.461696424
51,51.95570329,9.498210853,5.483794593
52,51.96188631,9.437988203,5.44902503
53,51.9602592,9.44471329,5.452907761
54,51.96509404,9.478277862,5.472286275
55,51.91902356,9.443799758,5.452380333
56,51.97369449,9.429097397,5.44389192
57,52.02734267,9.427187809,5.442789419
58,52.02399547,9.420012629,5.438646827
59,52.06760204,9.448392033,5.455031684
60,52.04672853,9.395896956,5.424723637
61,52.0108856,9.448003693,5.454807475
62,52.05286507,9.427387081,5.442904469
63,52.05979191,9.457905014,5.460524006
64,52.03775618,9.57176931,5.526263588
65,52.04291644,9.633920824,5.562146781
66,52.01785893,9.749598481,5.628933308
67,51.99573022,9.825710743,5.672876742
68,52.00553938,9.846673134,5.684979384
69,52.03543173,9.817232026,5.667981553
70,52.02859787,9.873924212,5.700712802
71,52.01460471,9.851736912,5.687902958
72,52.00070453,9.808954474,5.663202506
73,51.97820391,9.802390544,5.659412819
74,52.0000072,9.774225111,5.643151499
75,52.1188328,9.743219464,5.62525038
76,52.22078293,9.699200423,5.599835975
77,52.24244676,9.69151311,5.595397703
78,52.17062142,9.725428394,5.614978701
79,52.09870311,9.724696891,5.614556368
80,52.10539751,9.717857739,5.610607782
81,52.12492284,9.715324345,5.609145126
82,52.09010267,9.791590294,5.653177292
83,52.07694631,9.885269422,5.707262962
84,52.12306329,9.863633127,5.694771241
85,52.16755316,9.871070408,5.699065157
86,52.23733298,9.955325117,5.747709636
87,52.24900169,9.938159949,5.737799322
88,52.26908489,9.936980391,5.737118304
89,52.23379982,9.973924107,5.758447768
90,52.17150471,10.01459582,5.781929593
91,52.2046048,10.01834563,5.784094545
92,52.21492533,9.931542586,5.733978785
93,52.218412,9.905842279,5.719140706
94,52.12729378,9.928848008,5.73242307
95,52.1125568,9.97955101,5.761696462
96,52.17508436,10.02297944,5.786769879
97,52.17852453,10.0712149,5.814618631
98,52.13412764,10.0311274,5.791474102
99,52.14272809,10.01288166,5.780939924
100,52.1276192,10.0991568,5.830750899
101,52.16388053,10.08004993,5.81971954
102,52.18963538,10.08620002,5.823270295
103,52.14370435,10.1088006,5.836318745
