time,mean,sd,se
1,52.31533696,9.942712999,5.740428027
2,52.31665749,9.944084798,5.741220035
3,52.31797802,9.945456743,5.742012128
4,52.31929855,9.946828834,5.742804305
5,52.32061908,9.948201072,5.743596567
6,52.32193961,9.949573455,5.744388913
7,52.32326014,9.950945985,5.745181343
8,52.32458067,9.952318662,5.745973858
9,52.3259012,9.953691484,5.746766458
10,52.32722173,9.955064452,5.747559141
11,52.32854225,9.956437566,5.748351909
12,52.32986278,9.957810826,5.749144761
13,52.33118331,9.959184231,5.749937697
14,52.33250384,9.960557783,5.750730717
15,52.33382437,9.96193148,5.751523821
16,52.3351449,9.963305322,5.75231701
17,52.33646543,9.964679311,5.753110282
18,52.33778596,9.966053444,5.753903639
19,52.33910649,9.967427724,5.754697079
20,52.34042702,9.968802148,5.755490604
21,52.34174755,9.970176718,5.756284212
22,52.34306808,9.971551433,5.757077904
23,52.3443886,9.972926294,5.75787168
24,52.34570913,9.974301299,5.75866554
25,52.34702966,9.97567645,5.759459484
26,52.34835019,9.977051745,5.760253511
27,52.34967072,9.978427186,5.761047622
28,52.35099125,9.979802771,5.761841816
29,52.35231178,9.981178501,5.762636095
30,52.35363231,9.982554376,5.763430456
31,52.35495284,9.983930396,5.764224902
32,52.35627337,9.985306561,5.765019431
33,52.3575939,9.98668287,5.765814043
34,52.35891443,9.988059323,5.766608739
35,52.36023495,9.989435921,5.767403518
36,52.36155548,9.990812663,5.768198381
37,52.36287601,9.99218955,5.768993327
38,52.36419654,9.993566581,5.769788356
39,52.36551707,9.994943757,5.770583468
40,52.3668376,9.996321076,5.771378664
41,52.36815813,9.99769854,5.772173943
42,52.36947866,9.999076148,5.772969305
43,52.37079919,10.0004539,5.773764751
44,52.37211972,10.00183179,5.774560279
45,52.37344025,10.00320983,5.775355891
46,52.37476078,10.00458802,5.776151585
47,52.3760813,10.00596634,5.776947363
48,52.37740183,10.00734482,5.777743223
49,52.37872236,10.00872343,5.778539167
50,52.38004289,10.01010219,5.779335193
51,52.38136342,10.01148109,5.780131302
52,52.38268395,10.01286013,5.780927494
53,52.38400448,10.01423932,5.781723769
54,52.38532501,10.01561865,5.782520126
55,52.38664554,10.01699813,5.783316567
56,52.38796607,10.01837775,5.78411309
57,52.3892866,10.01975751,5.784909695
58,52.39060713,10.02113741,5.785706384
59,52.39192765,10.02251746,5.786503155
60,52.39324818,10.02389765,5.787300008
61,52.39456871,10.02527799,5.788096944
62,52.39588924,10.02665846,5.788893962
63,52.39720977,10.02803908,5.789691063
64,52.3985303,10.02941984,5.790488246
65,52.39985083,10.03080075,5.791285512
66,52.40117136,10.0321818,5.79208286
67,52.40249189,10.03356299,5.792880291
68,52.40381242,10.03494432,5.793677803
69,52.40513295,10.03632579,5.794475398
70,52.40645347,10.03770741,5.795273075
71,52.407774,10.03908917,5.796070835
72,52.40909453,10.04047107,5.796868676
73,52.41041506,10.04185312,5.7976666
74,52.41173559,10.0432353,5.798464605
75,52.41305612,10.04461763,5.799262693
76,52.41437665,10.0460001,5.800060863
77,52.41569718,10.04738271,5.800859114
78,52.41701771,10.04876547,5.801657448
