,sTN,s.dp
1,1,89.48641573
2,2,89.51026453
3,3,89.6020336
4,4,89.53481067
5,5,89.49799147
6,6,89.51026453
7,7,89.49520213
8,8,89.54415493
9,9,89.46256693
10,10,89.32491333
11,11,89.29395173
12,12,89.3551776
13,13,89.2986936
14,14,89.30720107
15,15,89.3049696
16,16,89.33314187
17,17,89.37288987
18,18,89.4597776
19,19,89.47079547
20,20,89.50775413
21,21,89.54666533
22,22,89.66660667
23,23,89.74122133
24,24,89.73438747
25,25,89.70886507
26,26,89.63327413
27,27,89.5915736
28,28,89.732156
29,29,89.6409448
30,30,89.493668
31,31,89.4409496
32,32,89.4388576
33,33,89.54778107
34,34,89.60565973
35,35,89.6363424
36,36,89.6141672
37,37,89.60565973
38,38,89.6196064
39,39,89.59631547
40,40,89.6350872
41,41,89.6417816
42,42,89.62657973
43,43,89.65698347
44,44,89.80216827
45,45,89.93731147
46,46,89.8919848
47,47,89.8568392
48,48,89.8735752
49,49,89.8564208
50,50,89.92406213
51,51,89.90188693
52,52,89.90174747
53,53,89.87134373
54,54,89.855584
55,55,89.88710347
56,56,89.98249867
57,57,90.04874533
58,58,89.95627893
59,59,89.86158107
60,60,89.8216936
61,61,89.87761973
62,62,89.8622784
63,63,89.92364373
64,64,89.97134133
65,65,89.9062104
66,66,89.96966773
67,67,89.97427013
68,68,89.95335013
69,69,90.014576
70,70,90.08960907
71,71,90.0216888
72,72,90.02350187
73,73,90.04986107
74,74,90.07998587
75,75,90.17426533
76,76,90.18388853
77,77,90.14274587
78,78,90.12405733
79,79,90.11903653
80,80,90.16617627
81,81,90.11847867
82,82,90.09337467
83,83,90.1476272
84,84,90.21736053
85,85,90.32028693
86,86,90.32893387
87,87,90.37956027
88,88,90.4338128
89,89,90.49880427
90,90,90.49085467
91,91,90.49713067
92,92,90.50773013
93,93,90.4844392
94,94,90.3631032
95,95,90.35110907
96,96,90.366032
97,97,90.30104053
98,98,90.30424827
99,99,90.4233528
100,100,90.4296288
101,101,90.3815128
102,102,90.43520747
103,103,90.54189947
104,104,90.65040453
105,105,90.62557947
106,106,90.6848528
107,107,90.7480312
108,108,90.76825387
