"","sTN","s.dp"
"1",1,74.2770178666667
"2",2,74.3254128
"3",3,74.3189973333331
"4",4,74.3201130666666
"5",5,74.2888725333331
"6",6,74.3138370666666
"7",7,74.3478669333333
"8",8,74.4199711999998
"9",9,74.3541429333334
"10",10,74.2290413333333
"11",11,74.2259730666665
"12",12,74.2548426666667
"13",13,74.3558165333333
"14",14,74.3779917333333
"15",15,74.2279255999998
"16",16,74.2205338666666
"17",17,74.2050530666665
"18",18,74.2295991999998
"19",19,74.2959853333333
"20",20,74.2870594666666
"21",21,74.3044928
"22",22,74.2860831999999
"23",23,74.3417303999999
"24",24,74.2629317333332
"25",25,74.2005901333333
"26",26,74.2258335999999
"27",27,74.2372698666665
"28",28,74.1130050666666
"29",29,74.1201178666667
"30",30,74.1400615999999
"31",31,74.1468954666665
"32",32,74.2344805333332
"33",33,74.3074215999998
"34",34,74.2477298666666
"35",35,74.2502402666667
"36",36,74.2612581333333
"37",37,74.2265309333332
"38",38,74.2392223999998
"39",39,74.2945906666667
"40",40,74.2968221333332
"41",41,74.2671157333333
"42",42,74.2627922666667
"43",43,74.2885936
"44",44,74.3082583999999
"45",45,74.3827336
"46",46,74.2792493333332
"47",47,74.2010085333333
"48",48,74.1524741333332
"49",49,74.1618184
"50",50,74.2121658666667
"51",51,74.2959853333333
"52",52,74.3672527999999
"53",53,74.4015616
"54",54,74.3937514666665
"55",55,74.4076981333332
"56",56,74.3866386666667
"57",57,74.4541405333334
"58",58,74.3238786666665
"59",59,74.2125842666666
"60",60,74.2786914666667
"61",61,74.2201154666667
"62",62,74.1901301333332
"63",63,74.2074239999998
"64",64,74.2849674666667
"65",65,74.1354591999999
"66",66,74.2014269333332
"67",67,74.2358751999998
"68",68,74.3565138666667
"69",69,74.3799442666665
"70",70,74.3864991999998
"71",71,74.3128608
"72",72,74.3375463999998
"73",73,74.3201130666666
"74",74,74.3392199999998
"75",75,74.3216471999998
"76",76,74.3637661333333
"77",77,74.3827336
"78",78,74.3466117333333
"79",79,74.341312
"80",80,74.2888725333331
"81",81,74.1655839999999
"82",82,74.1417351999999
"83",83,74.2053319999999
"84",84,74.3530271999999
"85",85,74.4082559999999
"86",86,74.4309890666666
"87",87,74.4021194666665
"88",88,74.4169029333332
"89",89,74.4540010666665
"90",90,74.3924962666665
"91",91,74.3520509333332
"92",92,74.3335018666665
"93",93,74.3811994666665
"94",94,74.4051877333333
"95",95,74.4234578666666
"96",96,74.4156477333332
"97",97,74.4685055999999
"98",98,74.3951461333331
"99",99,74.3417303999999
"100",100,74.3400567999999
"101",101,74.4489802666666
"102",102,74.4602770666665
"103",103,74.5283368
"104",104,74.4598586666666
"105",105,74.3774338666666
"106",106,74.3365701333331
"107",107,74.3647424
"108",108,74.3528877333333
"109",109,74.366416
"110",110,74.4291759999999
"111",111,74.4947253333332
"112",112,74.5056037333332
"113",113,74.3899858666666
"114",114,74.4346152
"115",115,74.5015591999999
"116",116,74.4620901333333
"117",117,74.4733869333333
"118",118,74.5269421333334
"119",119,74.4697608
"120",120,74.4262471999998
"121",121,74.4991882666666
"122",122,74.5513487999998
"123",123,74.588168
"124",124,74.5477226666665
"125",125,74.6742189333331
"126",126,74.6936047999999
"127",127,74.6043461333332
"128",128,74.6746373333333
"129",129,74.5908178666667
"130",130,74.5558117333333
"131",131,74.53796
"132",132,74.5735239999998
"133",133,74.5302893333333
"134",134,74.4109058666666
"135",135,74.5198293333332
"136",136,74.5657138666667
"137",137,74.5256869333333
"138",138,74.5732450666665
"139",139,74.4485618666666
"140",140,74.4022589333333
"141",141,74.5035117333333
"142",142,74.5270815999999
"143",143,74.4941674666667
"144",144,74.4775709333332
"145",145,74.5480015999999
"146",146,74.5926309333333
"147",147,74.6329368
"148",148,74.5372626666666
"149",149,74.6016962666665
"150",150,74.7538543999999
"151",151,74.6895602666666
"152",152,74.7265189333331
"153",153,74.6192690666665
"154",154,74.5753370666666
