"","sTN","s.dp"
"1",1,46.6727989333334
"2",2,46.6383506666667
"3",3,46.6119914666666
"4",4,46.4944210666667
"5",5,46.6204989333334
"6",6,46.5878637333333
"7",7,46.4757325333332
"8",8,46.3182746666667
"9",9,46.3903789333334
"10",10,46.4119962666667
"11",11,46.4688986666667
"12",12,46.404744
"13",13,46.3584410666666
"14",14,46.3768506666667
"15",15,46.5131095999999
"16",16,46.5107386666666
"17",17,46.5065546666667
"18",18,46.5787984
"19",19,46.6458818666665
"20",20,46.6949741333334
"21",21,46.7458794666668
"22",22,46.7287250666667
"23",23,46.6244040000001
"24",24,46.5564837333332
"25",25,46.4596938666666
"26",26,46.4126936
"27",27,46.3676458666666
"28",28,46.3237138666666
"29",29,46.3446338666665
"30",30,46.4160407999999
"31",31,46.3709930666666
"32",32,46.3557911999999
"33",33,46.4478391999999
"34",34,46.4032098666665
"35",35,46.3050253333334
"36",36,46.2737847999999
"37",37,46.2598381333332
"38",38,46.2686245333334
"39",39,46.3697378666666
"40",40,46.4458866666666
"41",41,46.444492
"42",42,46.4297085333332
"43",43,46.3630434666666
"44",44,46.3400314666665
"45",45,46.3351501333334
"46",46,46.3702957333333
"47",47,46.4142277333334
"48",48,46.5029285333334
"49",49,46.4864714666667
"50",50,46.3899605333332
"51",51,46.5132490666667
"52",52,46.5359821333332
"53",53,46.4688986666667
"54",54,46.4129725333333
"55",55,46.4578808000001
"56",56,46.5476973333333
"57",57,46.4986050666667
"58",58,46.4510469333333
"59",59,46.3857765333334
"60",60,46.5149226666667
"61",61,46.5026496
"62",62,46.3701562666665
"63",63,46.3053042666667
"64",64,46.3977706666667
"65",65,46.4963736
"66",66,46.46332
"67",67,46.4350082666665
"68",68,46.3977706666667
"69",69,46.4366818666665
"70",70,46.5504866666666
"71",71,46.5304034666667
"72",72,46.5977658666666
"73",73,46.5860506666667
"74",74,46.5945581333332
"75",75,46.5729407999999
"76",76,46.4425394666666
"77",77,46.3404498666667
"78",78,46.3799189333333
"79",79,46.3990258666667
"80",80,46.3470048000001
"81",81,46.4642962666667
"82",82,46.5560653333333
"83",83,46.5380741333334
"84",84,46.4786613333332
"85",85,46.469596
"86",86,46.4810322666665
"87",87,46.5125517333334
"88",88,46.5403055999998
"89",89,46.6073890666666
"90",90,46.5267773333334
"91",91,46.4013968
"92",92,46.5046021333334
"93",93,46.6287274666667
"94",94,46.5451869333332
"95",95,46.4880056000001
"96",96,46.4609490666667
"97",97,46.4500706666666
"98",98,46.5676410666666
"99",99,46.5172936
"100",100,46.5779615999999
"101",101,46.6401637333333
"102",102,46.5923266666667
"103",103,46.5921871999999
"104",104,46.6575970666667
"105",105,46.6747514666667
"106",106,46.5923266666667
"107",107,46.4711301333334
"108",108,46.4778245333334
"109",109,46.4615069333332
"110",110,46.5292877333332
"111",111,46.6147807999998
"112",112,46.6245434666666
"113",113,46.5818666666666
"114",114,46.5408634666666
"115",115,46.5330533333334
"116",116,46.6442082666665
"117",117,46.5882821333332
"118",118,46.6315168
"119",119,46.5426765333334
"120",120,46.4602517333334
"121",121,46.4359845333332
"122",122,46.4617858666666
"123",123,46.3810346666665
"124",124,46.3528623999999
"125",125,46.3530018666667
"126",126,46.4757325333332
"127",127,46.5258010666667
"128",128,46.5397477333333
"129",129,46.5817272000001
"130",130,46.5965106666666
"131",131,46.6820037333334
"132",132,46.6659650666666
"133",133,46.5944186666666
"134",134,46.4825663999999
"135",135,46.4066965333333
"136",136,46.4716879999999
"137",137,46.5147831999999
"138",138,46.5401661333333
"139",139,46.6621994666667
"140",140,46.6410005333334
"141",141,46.5716855999999
"142",142,46.5697330666665
