time,mean,sd,se
1,54.63486104,8.290429012,3.707592567
2,54.63515137,8.290589217,3.707664212
3,54.6354417,8.290749448,3.70773587
4,54.63573203,8.290909706,3.70780754
5,54.63602236,8.29106999,3.707879221
6,54.6363127,8.291230302,3.707950914
7,54.63660303,8.291390639,3.70802262
8,54.63689336,8.291551004,3.708094337
9,54.63718369,8.291711395,3.708166066
10,54.63747402,8.291871812,3.708237807
11,54.63776435,8.292032257,3.70830956
12,54.63805468,8.292192728,3.708381324
13,54.63834501,8.292353225,3.708453101
14,54.63863534,8.292513749,3.70852489
15,54.63892567,8.2926743,3.70859669
16,54.639216,8.292834878,3.708668503
17,54.63950633,8.292995482,3.708740327
18,54.63979666,8.293156112,3.708812163
19,54.64008699,8.29331677,3.708884011
20,54.64037733,8.293477454,3.708955871
21,54.64066766,8.293638164,3.709027743
22,54.64095799,8.293798901,3.709099627
23,54.64124832,8.293959665,3.709171523
24,54.64153865,8.294120455,3.70924343
25,54.64182898,8.294281272,3.70931535
26,54.64211931,8.294442116,3.709387281
27,54.64240964,8.294602986,3.709459225
28,54.64269997,8.294763883,3.70953118
29,54.6429903,8.294924806,3.709603147
30,54.64328063,8.295085756,3.709675126
31,54.64357096,8.295246733,3.709747117
32,54.64386129,8.295407736,3.70981912
33,54.64415162,8.295568766,3.709891135
34,54.64444195,8.295729822,3.709963161
35,54.64473229,8.295890905,3.7100352
36,54.64502262,8.296052015,3.71010725
37,54.64531295,8.296213151,3.710179312
38,54.64560328,8.296374314,3.710251386
39,54.64589361,8.296535503,3.710323473
40,54.64618394,8.296696719,3.71039557
41,54.64647427,8.296857961,3.71046768
42,54.6467646,8.297019231,3.710539802
43,54.64705493,8.297180526,3.710611936
44,54.64734526,8.297341848,3.710684081
45,54.64763559,8.297503197,3.710756239
46,54.64792592,8.297664573,3.710828408
47,54.64821625,8.297825975,3.710900589
48,54.64850658,8.297987403,3.710972782
49,54.64879692,8.298148858,3.711044987
50,54.64908725,8.29831034,3.711117204
