,sTN,s.dp
1,1,41.15563707
2,2,41.10222133
3,3,41.05814987
4,4,41.0048736
5,5,40.913244
6,6,40.8492288
7,7,40.89581067
8,8,40.96247573
9,9,40.94364773
10,10,40.88716373
11,11,40.8688936
12,12,40.8760064
13,13,40.97586453
14,14,41.06484427
15,15,41.18213573
16,16,41.15814747
17,17,41.0663784
18,18,40.9458792
19,19,40.8827008
20,20,41.07335173
21,21,41.1341592
22,22,41.17251253
23,23,41.080604
24,24,41.02258587
25,25,40.97042533
26,26,40.9580128
27,27,41.01379947
28,28,41.04852667
29,29,41.04434267
30,30,41.07404907
31,31,41.08199867
32,32,41.06317067
33,33,41.0362536
34,34,41.02147013
35,35,41.14726907
36,36,41.22383627
37,37,41.17920693
38,38,41.15187147
39,39,41.1387616
40,40,41.12342027
41,41,41.18618027
42,42,41.3123976
43,43,41.35730587
44,44,41.29133813
45,45,41.216584
46,46,41.21839707
47,47,41.24894027
48,48,41.1546608
49,49,41.078512
50,50,41.11630747
51,51,41.1772544
52,52,41.1667944
53,53,41.24447733
54,54,41.21002907
55,55,41.14824533
56,56,41.14308507
57,57,41.1404352
58,58,41.08757733
59,59,41.12174667
60,60,41.22230213
61,61,41.1236992
62,62,40.97405147
63,63,40.88367707
64,64,40.92719067
65,65,40.87963253
66,66,40.87614587
67,67,40.986464
68,68,41.08632213
69,69,41.0655416
70,70,41.07948827
71,71,41.2098896
72,72,41.26149227
73,73,41.2257888
74,74,41.10975253
75,75,41.05159493
76,76,41.1425272
77,77,41.23569093
78,78,41.07837253
79,79,41.16149467
80,80,41.11519173
81,81,40.9810248
82,82,41.00501307
83,83,40.97293573
84,84,40.9253776
85,85,40.9391848
86,86,40.84685787
87,87,40.93988213
88,88,41.0379272
89,89,41.07279387
90,90,41.1002688
91,91,41.13945893
92,92,41.15452133
93,93,41.24280373
94,94,41.20961067
95,95,41.19454827
96,96,41.16665493
97,97,41.11798107
98,98,41.14643227
99,99,41.20305573
100,100,41.03220907
101,101,40.9663808
102,102,40.96819387
103,103,41.0467136
104,104,41.14936107
105,105,41.0755832
106,106,41.11351813
107,107,41.1450376
108,108,41.1241176
109,109,41.1324856
110,110,41.11003147
111,111,41.21477093
112,112,41.1659576
113,113,41.10138453
114,114,41.0705624
115,115,41.0768384
116,116,41.1320672
117,117,41.1052896
118,118,41.08367227
119,119,41.1220256
120,120,41.12927787
121,121,40.94573973
122,122,40.986464
123,123,40.96038373
124,124,41.01589147
125,125,41.07279387
126,126,41.030396
127,127,41.08255653
128,128,41.14685067
129,129,41.15284773
130,130,41.1425272
131,131,41.20961067
132,132,41.2693024
133,133,41.24824293
134,134,41.11672587
135,135,41.20723973
136,136,41.19998747
137,137,41.10598693
138,138,41.0877168
139,139,41.05312907
140,140,41.1073816
141,141,41.18994587
142,142,41.24113013
143,143,41.13262507
144,144,40.9124072
145,145,40.8806088
146,146,40.9826984
147,147,40.9714016
148,148,41.09301653
149,149,41.05828933
150,150,41.02858293
151,151,41.0864616
152,152,41.11268133
153,153,41.15870533
154,154,41.0839512
155,155,41.07795413
156,156,41.04699253
157,157,41.0232832
158,158,41.08660107
159,159,41.0789304
160,160,41.10096613
161,161,41.0935744
162,162,41.1550792
163,163,41.24656933
164,164,41.27669413
165,165,41.2780888
166,166,41.291896
167,167,41.24601147
168,168,41.2617712
169,169,41.2467088
170,170,41.2308096
171,171,41.11226293
172,172,41.14071413
173,173,41.1693048
174,174,41.15103467
175,175,41.15033733
176,176,41.16777067
177,177,41.17153627
178,178,41.20514773
179,179,41.0935744
180,180,41.04434267
181,181,41.03262747
182,182,41.05452373
183,183,41.09385333
184,184,41.2006848
185,185,41.24698773
186,186,41.27488107
187,187,41.1592632
188,188,41.11798107
189,189,41.0960848
190,190,41.10961307
191,191,41.1617736
192,192,41.15814747
193,193,41.19677973
194,194,41.1835304
195,195,41.22634667
196,196,41.17418613
197,197,41.20849493
198,198,41.27083653
199,199,41.21267893
200,200,41.2446168
201,201,41.21518933
202,202,41.20640293
203,203,41.35158773
204,204,41.3843624
205,205,41.24726667
206,206,41.18841173
207,207,41.13973787
208,208,41.15898427
209,209,41.17028107
210,210,41.17488347
211,211,41.12551227
212,212,41.0990136
213,213,41.0207728
214,214,41.14280613
215,215,41.00626827
216,216,41.0257936
217,217,41.0814408
218,218,41.1069632
219,219,41.10975253
220,220,41.01882027
221,221,40.99385573
222,222,41.0642864
223,223,41.06121813
224,224,41.08632213
225,225,41.2178392
226,226,41.19929013
227,227,41.151732
228,228,41.18492507
229,229,41.14238773
230,230,41.15898427
231,231,41.08688
232,232,41.1153312
233,233,41.05577893
234,234,41.1019424
235,235,41.04559787
236,236,41.0161704
237,237,41.0404376
238,238,41.02858293
239,239,41.03053547
240,240,40.94783173
241,241,40.9161728
242,242,40.959268
243,243,40.97628293
244,244,40.87754053
245,245,40.7910712
246,246,40.86945147
247,247,40.9274696
248,248,40.96526507
249,249,40.9437872
250,250,41.0291408
251,251,41.15159253
252,252,41.1483848
253,253,40.97419093
254,254,40.92216987
255,255,40.98283787
256,256,41.04364533
257,257,41.00417627
258,258,40.97502773
259,259,41.04504
260,260,41.1337408
261,261,41.22760187
262,262,41.26539733
263,263,41.22718347
264,264,41.29928773
265,265,41.35535333
266,266,41.35911893
267,267,41.3600952
268,268,41.2609344
269,269,41.16986267
270,270,41.14392187
271,271,41.16037893
272,272,41.1776728
273,273,41.2843648
274,274,41.2174208
275,275,41.18548293
276,276,41.22523093
277,277,41.218676
278,278,41.1069632
279,279,41.2358304
280,280,41.3031928
281,281,41.33610693
282,282,41.23987493
283,283,41.2621896
284,284,41.29426693
285,285,41.26316587
286,286,41.23318053
287,287,41.23053067
288,288,41.18506453
289,289,41.1320672
290,290,41.178928
291,291,41.08339333
292,292,40.99706347
293,293,41.0249568
294,294,41.10975253
295,295,41.247964
296,296,41.17878853
297,297,41.0416928
298,298,41.09720053
299,299,41.1341592
300,300,41.22048907
301,301,41.2496376
302,302,41.21881547
303,303,41.16316827
304,304,41.19831387
305,305,41.12174667
306,306,41.12063093
307,307,41.2713944
308,308,41.2818544
309,309,41.20040587
310,310,41.1818568
311,311,41.164284
312,312,41.12927787
313,313,41.15438187
314,314,41.23861973
315,315,41.13611173
316,316,41.13067253
317,317,41.13820373
318,318,41.15019787
319,319,41.1693048
320,320,41.09664267
321,321,41.00640773
322,322,41.10417387
323,323,41.29426693
324,324,41.40374827
325,325,41.35995573
326,326,41.31211867
327,327,41.39091733
328,328,41.37125253
329,329,41.2659552
330,330,41.22899653
331,331,41.18102
332,332,41.21602613
333,333,41.21839707
334,334,41.31351333
335,335,41.2496376
336,336,41.2006848
337,337,41.216584
338,338,41.18743547
339,339,41.20835547
340,340,41.26246853
341,341,41.17544133
342,342,41.17585973
343,343,41.22592827
344,344,41.2132368
345,345,41.2098896
346,346,41.0872984
347,347,41.03527733
348,348,41.11519173
349,349,41.2057056
350,350,41.18492507
351,351,41.1835304
352,352,41.16037893
353,353,41.10515013
354,354,41.0383456
355,355,41.0801856
356,356,41.0626128
357,357,41.10682373
358,358,41.1291384
359,359,41.06038133
360,360,41.09092453
361,361,41.05814987
362,362,40.9638704
363,363,41.07823307
364,364,41.08297493
365,365,41.03513787
366,366,41.00138693
367,367,41.0634496
368,368,41.11254187
369,369,41.2843648
370,370,41.22090747
371,371,41.08534587
372,372,41.08911147
373,373,41.12021253
374,374,41.08032507
375,375,41.05814987
376,376,41.06623893
377,377,41.20347413
378,378,41.19761653
379,379,41.10501067
380,380,41.06414693
381,381,41.19343253
382,382,41.19580347
383,383,41.22802027
384,384,41.22676507
385,385,41.29245387
386,386,41.21184213
387,387,41.1542424
388,388,41.06247333
389,389,41.0337432
390,390,41.0128232
391,391,41.06233387
392,392,41.12509387
393,393,41.18757493
394,394,41.17279147
395,395,41.2211864
396,396,41.22690453
397,397,41.3412672
398,398,41.32969147
399,399,41.21686293
400,400,41.10752107
401,401,41.122444
402,402,41.13401973
403,403,41.21044747
404,404,41.18283307
405,405,41.15689227
406,406,41.13639067
407,407,41.17962533
408,408,41.09594533
409,409,41.05689467
410,410,41.02816453
411,411,41.08688
412,412,41.1592632
413,413,41.22718347
414,414,41.31560533
415,415,41.24350107
416,416,41.29705627
417,417,41.2759968
418,418,41.18325147
419,419,41.17028107
420,420,41.12258347
421,421,41.10584747
422,422,41.1479664
423,423,41.30667947
424,424,41.28464373
425,425,41.20180053
426,426,41.08701947
427,427,41.1111472
428,428,41.01895973
429,429,41.00724453
430,430,41.12969627
431,431,41.05326853
432,432,41.06414693
433,433,41.07920933
434,434,41.06791253
435,435,40.97335413
436,436,41.0358352
437,437,41.1395984
438,438,41.13276453
439,439,41.16484187
440,440,41.12676747
441,441,41.13401973
442,442,41.18910907
443,443,41.2893856
444,444,41.3751576
445,445,41.30598213
446,446,41.279344
447,447,41.23764347
448,448,41.22592827
449,449,41.04183227
450,450,41.08492747
451,451,41.13569333
452,452,41.1324856
453,453,41.0780936
454,454,41.17069947
455,455,41.2111448
456,456,41.25647147
457,457,41.29217493
458,458,41.2132368
459,459,41.0885536
460,460,41.05354747
461,461,41.07642
462,462,41.0760016
463,463,41.0881352
464,464,41.1274648
465,465,41.21128427
466,466,41.19761653
467,467,41.2550768
468,468,41.25953973
469,469,41.14866373
470,470,41.09496907
471,471,41.21839707
472,472,41.24517467
473,473,41.22355733
474,474,41.17167573
475,475,41.28241227
476,476,41.21797867
477,477,41.216584
478,478,41.07195707
479,479,41.0232832
480,480,40.9584312
481,481,40.9086416
482,482,40.94141627
483,483,41.06777307
484,484,41.04531893
485,485,41.06609947
486,486,41.06526267
487,487,41.0751648
488,488,41.11812053
489,489,41.15856587
490,490,41.20221893
491,491,41.1634472
492,492,41.0856248
493,493,41.0906456
494,494,41.1337408
495,495,41.14489813
496,496,41.20249787
497,497,41.25688987
498,498,41.26191067
499,499,41.19412987
500,500,41.14908213
501,501,41.10752107
502,502,41.07795413
503,503,41.12258347
504,504,41.0898088
505,505,41.0935744
506,506,41.07279387
507,507,41.0500608
508,508,41.0370904
509,509,41.03527733
510,510,41.06484427
511,511,41.11672587
512,512,41.11337867
513,513,41.0341616
514,514,41.03095387
515,515,41.03346427
516,516,41.13067253
517,517,41.21128427
518,518,41.16414453
519,519,41.14434027
520,520,41.07195707
521,521,41.03946133
522,522,40.8801904
523,523,40.96247573
524,524,41.0730728
525,525,41.0504792
526,526,41.0504792
527,527,41.1835304
528,528,41.12049147
529,529,41.05117653
530,530,40.97670133
531,531,40.90975733
532,532,40.85913093
533,533,40.94741333
534,534,40.92314613
535,535,40.886048
536,536,40.95815227
537,537,40.95940747
538,538,40.94057947
539,539,40.93360613
540,540,40.94016107
541,541,40.96958853
542,542,40.8990184
543,543,40.81464107
544,544,40.86540693
545,545,40.84030293
546,546,40.95954693
547,547,41.06414693
548,548,41.09329547
549,549,40.96163893
550,550,40.9295616
551,551,40.87823787
552,552,40.83695573
553,553,40.81589627
554,554,40.8697304
555,555,40.83988453
556,556,40.8195224
557,557,40.75773867
558,558,40.685216
559,559,40.78409787
560,560,40.8718224
561,561,40.86959093
562,562,40.95103947
563,563,41.0211912
564,564,40.92942213
565,565,40.72426667
566,566,40.73347147
567,567,40.8688936
568,568,40.90222613
569,569,40.915336
570,570,40.75857547
571,571,40.6659696
572,572,40.63319493
573,573,40.76108587
574,574,40.76150427
575,575,40.81003867
576,576,40.8098992
577,577,40.8655464
578,578,40.79706827
579,579,40.71548027
580,580,40.76317787
581,581,40.81966187
582,582,40.88465333
583,583,40.87489067
584,584,40.81143333
585,585,40.81171227
586,586,40.7421184
587,587,40.72482453
588,588,40.73486613
589,589,40.69246827
590,590,40.683124
591,591,40.63277653
592,592,40.6417024
593,593,40.6764296
594,594,40.7998576
595,595,40.76736187
596,596,40.72189573
597,597,40.6458864
598,598,40.65620693
599,599,40.653836
600,600,40.65788053
601,601,40.777264
602,602,40.75997013
603,603,40.77112747
604,604,40.770988
605,605,40.81003867
606,606,40.7743352
607,607,40.82147493
608,608,40.74183947
609,609,40.74267627
610,610,40.72900853
611,611,40.79093173
612,612,40.87461173
613,613,40.81059653
614,614,40.7893976
615,615,40.88088773
616,616,40.75648347
617,617,40.76903547
618,618,40.7806112
619,619,40.74853387
620,620,40.8375136
621,621,40.7517416
622,622,40.75690187
623,623,40.78465573
624,624,40.64811787
625,625,40.7086464
626,626,40.7174328
627,627,40.64560747
628,628,40.61687733
629,629,40.70348613
630,630,40.72845067
631,631,40.59846773
632,632,40.56401947
633,633,40.4931704
634,634,40.4588616
635,635,40.52929227
636,636,40.53612613
637,637,40.6299872
638,638,40.609904
639,639,40.49916747
640,640,40.576432
641,641,40.6764296
642,642,40.681032
643,643,40.67126933
644,644,40.6860528
645,645,40.67419813
646,646,40.6772664
647,647,40.5831264
648,648,40.58591573
649,649,40.601536
650,650,40.6304056
651,651,40.58675253
652,652,40.64184187
653,653,40.62901093
654,654,40.54700453
655,655,40.5906576
656,656,40.622456
657,657,40.62608213
658,658,40.58884453
659,659,40.60460427
660,660,40.60334907
661,661,40.63570533
662,662,40.56694827
663,663,40.54686507
664,664,40.60711467
665,665,40.59930453
666,666,40.47336613
667,667,40.42678427
668,668,40.28452827
669,669,40.22553387
670,670,40.29415147
671,671,40.39638053
672,672,40.41297707
673,673,40.40084347
674,674,40.44937787
675,675,40.42176347
676,676,40.37322907
677,677,40.43933627
678,678,40.4350128
679,679,40.3914992
680,680,40.47029787
681,681,40.58452107
682,682,40.687308
683,683,40.56666933
684,684,40.47155307
685,685,40.5132536
686,686,40.4559328
687,687,40.2781128
688,688,40.26918693
689,689,40.43222347
690,690,40.43738373
691,691,40.48298933
692,692,40.50516453
693,693,40.30377467
694,694,40.25147467
695,695,40.137112
696,696,40.21047147
697,697,40.33975707
698,698,40.49330987
699,699,40.63389227
700,700,40.6463048
701,701,40.56067227
702,702,40.5417048
703,703,40.54825973
704,704,40.5325
705,705,40.55453573
706,706,40.57880293
707,707,40.58884453
708,708,40.50586187
709,709,40.39373067
710,710,40.33892027
711,711,40.35914293
712,712,40.47197147
713,713,40.47573707
714,714,40.49303093
715,715,40.49470453
716,716,40.48591813
717,717,40.50209627
718,718,40.538776
719,719,40.49874907
720,720,40.471832
721,721,40.48424453
722,722,40.3889888
723,723,40.42566853
724,724,40.45286453
725,725,40.4350128
726,726,40.31381627
727,727,40.3237184
728,728,40.21716587
729,729,40.21716587
730,730,40.25747173
