time,dp,temp
1.00,10.845487,28.49827
2.00,10.845315,28.49856
3.00,10.845383,28.49755
4.00,10.845249,28.49843
5.00,10.844772,28.49907
6.00,10.844684,28.49870
7.00,10.845032,28.49859
8.00,10.845890,28.49727
9.00,10.846605,28.49859
10.00,10.846250,28.49871
11.00,10.846001,28.49813
12.00,10.846051,28.49723
13.00,10.845850,28.49779
14.00,10.846315,28.49833
15.00,10.846723,28.49758
16.00,10.846267,28.49823
17.00,10.845465,28.49856
18.00,10.844347,28.49853
19.00,10.844177,28.49855
20.00,10.844517,28.49854
21.00,10.844446,28.49845
22.00,10.844686,28.49846
23.00,10.845459,28.49785
24.00,10.845390,28.49781
25.00,10.845555,28.49713
26.00,10.845761,28.49791
27.00,10.845580,28.49797
28.00,10.845473,28.49718
29.00,10.845678,28.49666
30.00,10.846094,28.49747
31.00,10.846067,28.49790
32.00,10.846293,28.49785
33.00,10.846570,28.49847
34.00,10.846537,28.49795
35.00,10.846895,28.49758
36.00,10.846653,28.49731
37.00,10.846653,28.49779
38.00,10.847195,28.49749
39.00,10.847370,28.49759
40.00,10.846885,28.49697
41.00,10.846798,28.49778
42.00,10.847558,28.49804
43.00,10.847443,28.49794
44.00,10.847719,28.49844
45.00,10.848476,28.49842
46.00,10.848590,28.49833
47.00,10.848515,28.49776
48.00,10.848127,28.49710
49.00,10.847684,28.49794
50.00,10.847970,28.49820
51.00,10.847807,28.49790
52.00,10.847808,28.49770
53.00,10.847605,28.49833
54.00,10.847320,28.49833
55.00,10.847224,28.49842
56.00,10.847975,28.49786
57.00,10.847986,28.49723
58.00,10.847247,28.49748
59.00,10.847263,28.49685
60.00,10.848414,28.49727
61.00,10.848791,28.49743
62.00,10.848854,28.49768
63.00,10.848133,28.49817
64.00,10.848390,28.49860
65.00,10.848536,28.49759
66.00,10.848710,28.49775
67.00,10.848744,28.49786
68.00,10.848635,28.49759
69.00,10.848309,28.49820
70.00,10.848740,28.49818
71.00,10.848309,28.49720
72.00,10.848987,28.49765
73.00,10.849048,28.49846
74.00,10.848813,28.49870
75.00,10.848668,28.49781
76.00,10.848716,28.49682
77.00,10.848652,28.49854
78.00,10.848786,28.49827
79.00,10.848635,28.49747
80.00,10.849149,28.49820
81.00,10.849653,28.49770
82.00,10.849924,28.49739
83.00,10.850331,28.49841
84.00,10.850180,28.49887
85.00,10.849389,28.49877
86.00,10.849427,28.49755
87.00,10.849526,28.49755
88.00,10.849691,28.49770
89.00,10.849696,28.49756
90.00,10.849533,28.49872
91.00,10.849839,28.49812
92.00,10.850503,28.49802
93.00,10.850621,28.49819
94.00,10.849262,28.49933
95.00,10.848836,28.49933
96.00,10.848463,28.49814
97.00,10.849113,28.49831
98.00,10.849072,28.49824
99.00,10.849277,28.49873
100.00,10.849723,28.49871
101.00,10.849787,28.49884
102.00,10.849048,28.49909
103.00,10.849062,28.49819
104.00,10.848682,28.49868
105.00,10.849651,28.49911
106.00,10.849862,28.49913
107.00,10.850018,28.49812
108.00,10.849852,28.49823
109.00,10.849220,28.49879
110.00,10.849682,28.49951
111.00,10.848896,28.49804
112.00,10.848319,28.49878
113.00,10.848989,28.49832
114.00,10.848831,28.49893
115.00,10.848516,28.49945
116.00,10.848760,28.49984
117.00,10.849313,28.49941
118.00,10.849765,28.49921
119.00,10.850166,28.49925
120.00,10.850657,28.49869
121.00,10.850390,28.49861
122.00,10.850387,28.49780
123.00,10.850066,28.49839
124.00,10.850020,28.49868
125.00,10.849508,28.49851
126.00,10.849318,28.49908
127.00,10.849294,28.49893
128.00,10.849255,28.49821
129.00,10.849957,28.49942
130.00,10.850668,28.49875
131.00,10.850479,28.49811
132.00,10.850418,28.49774
133.00,10.850327,28.49833
134.00,10.850601,28.49919
135.00,10.849972,28.49914
136.00,10.850253,28.49809
137.00,10.850777,28.49901
138.00,10.851018,28.49915
139.00,10.850912,28.49901
140.00,10.851507,28.49893
141.00,10.850487,28.49828
142.00,10.850244,28.49908
143.00,10.850909,28.49901
144.00,10.851804,28.49964
145.00,10.852046,28.49888
146.00,10.851313,28.49803
147.00,10.850960,28.49817
148.00,10.851167,28.49912
149.00,10.851563,28.49788
150.00,10.851286,28.49802
151.00,10.849977,28.49804
152.00,10.850313,28.49906
153.00,10.851156,28.49965
154.00,10.851078,28.49916
155.00,10.850917,28.49930
156.00,10.850698,28.49878
157.00,10.851137,28.49896
158.00,10.852165,28.49986
159.00,10.852565,28.49824
160.00,10.852767,28.49881
161.00,10.852423,28.49924
162.00,10.852216,28.49941
163.00,10.851790,28.49912
164.00,10.851369,28.49896
165.00,10.852112,28.49838
166.00,10.852547,28.49897
167.00,10.852770,28.49779
168.00,10.852915,28.49736
169.00,10.853134,28.49792
170.00,10.853739,28.49815
171.00,10.853580,28.49810
172.00,10.852419,28.49802
173.00,10.852127,28.49802
174.00,10.852311,28.49735
175.00,10.851847,28.49776
176.00,10.852270,28.49810
177.00,10.852413,28.49808
178.00,10.852567,28.49863
179.00,10.853123,28.49791
180.00,10.853214,28.49848
181.00,10.852852,28.49861
182.00,10.852281,28.49842
183.00,10.852521,28.49812
184.00,10.852747,28.49917
185.00,10.852263,28.49886
186.00,10.851952,28.49799
187.00,10.851657,28.49797
188.00,10.852387,28.49875
189.00,10.853236,28.49838
190.00,10.853385,28.49674
191.00,10.853826,28.49713
192.00,10.854010,28.49758
193.00,10.853938,28.49893
194.00,10.853116,28.49826
195.00,10.853323,28.49802
196.00,10.853655,28.49916
197.00,10.853383,28.49803
198.00,10.852915,28.49687
199.00,10.853399,28.49846
200.00,10.853210,28.49833
201.00,10.854075,28.49813
202.00,10.853646,28.49830
203.00,10.853250,28.49781
204.00,10.853693,28.49805
205.00,10.853322,28.49725
206.00,10.853360,28.49798
207.00,10.853618,28.49837
208.00,10.854191,28.49795
209.00,10.853586,28.49779
210.00,10.852913,28.49875
211.00,10.852910,28.49806
212.00,10.853109,28.49837
213.00,10.854218,28.49875
214.00,10.854351,28.49911
215.00,10.853688,28.49871
216.00,10.853807,28.49796
217.00,10.853875,28.49752
218.00,10.853482,28.49778
219.00,10.853379,28.49813
220.00,10.853539,28.49775
221.00,10.853005,28.49848
222.00,10.853388,28.49859
223.00,10.854219,28.49892
224.00,10.854492,28.49889
225.00,10.854286,28.49775
226.00,10.854521,28.49777
227.00,10.854794,28.49839
228.00,10.855130,28.49819
229.00,10.855156,28.49853
230.00,10.854604,28.49850
231.00,10.854570,28.49818
232.00,10.854431,28.49939
233.00,10.854221,28.49856
234.00,10.853643,28.49902
235.00,10.853333,28.49894
236.00,10.853742,28.49872
237.00,10.853979,28.49850
238.00,10.853812,28.49780
239.00,10.854085,28.49836
240.00,10.854017,28.49838
241.00,10.854114,28.49851
242.00,10.853496,28.49810
243.00,10.853880,28.49765
244.00,10.854391,28.49860
245.00,10.854901,28.49720
246.00,10.855400,28.49794
247.00,10.855605,28.49781
248.00,10.855565,28.49841
249.00,10.855226,28.49832
250.00,10.854412,28.49842
251.00,10.854301,28.49837
252.00,10.854379,28.49928
253.00,10.854002,28.49807
254.00,10.854421,28.49766
255.00,10.854067,28.49860
256.00,10.854022,28.49796
257.00,10.854071,28.49818
258.00,10.854102,28.49931
259.00,10.854132,28.49868
260.00,10.854452,28.49883
261.00,10.854388,28.49875
262.00,10.853745,28.49873
263.00,10.854378,28.49857
264.00,10.855047,28.49839
265.00,10.855120,28.49765
266.00,10.854770,28.49850
267.00,10.854461,28.49901
268.00,10.855049,28.49889
269.00,10.855284,28.49809
270.00,10.855307,28.49833
271.00,10.855476,28.49911
272.00,10.855466,28.49856
